session_year,session_name,session_id,bill_number,title,description,status,status_desc,last_action,last_action_date,url,state_link,matched_keywords
2026,2026 Regular Regular Session,2237,,"Medicaid billing navigator positions; Superintendent of Public Instruction to establish, report.","Department of Education; Medicaid billing navigator positions; report. Requires the Superintendent of Public Instruction to establish within the Department of Education two Medicaid billing navigator positions for the purpose of providing school divisions with guidance and assistance to effectively navigate the laws, policies, rules, regulations, and guidelines governing Medicaid billing for reimbursable services rendered at school sites and ensuring that all school divisions are able to fully leverage Medicaid funding opportunities to enhance student health services. The bill establishes the qualifications for and duties of such navigators and requires such navigators to annually report certain data to the Secretary of Education, the Superintendent of Public Instruction, and the Chairmen of the House Committee on Education and the Senate Committee on Education and Health. The bill is a recommendation of the School Health Services Committee.",1,,Referred to Committee on Education and Health,2025-12-17,https://legiscan.com/VA/bill/SB73/2026,,medicaid
2026,2026 Regular Regular Session,2237,,Commending the Marion Senior High School girls' tennis team.,Commending the Marion Senior High School girls' tennis team.,1,,Prefiled and laid on Clerk's desk; Offered 01-14-2026 26100184D,2025-12-15,https://legiscan.com/VA/bill/SJR15/2026,,senior
2025,2025 Regular Session,2149,,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,"Virginia Retirement System; enhanced retirement benefits for 911 dispatchers. Allows local governments to provide enhanced retirement benefits for hazardous duty service to full-time salaried 911 dispatchers. The bill provides that such enhanced retirement benefits apply only to service earned as a full-time salaried 911 dispatcher on or after July 1, 2025, but allows an employer, as that term is defined in relevant law, to provide such enhanced retirement benefits for service earned as a full-time salaried 911 dispatcher before July 1, 2025, in addition to service earned on or after that date. The bill has a delayed effective date of July 1, 2025.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB38/2025,,retirement
2025,2025 Regular Session,2149,,Firearm locking device; required for sale or transfer of firearm.,"Firearm locking device required for sale or transfer of firearm; warning against accessibility to children; penalty. Makes it a Class 3 misdemeanor for any licensed manufacturer, licensed importer, or licensed dealer to sell, deliver, or transfer any firearm to any person other than a licensed manufacturer, licensed importer, or licensed dealer unless the transferee is provided with a locking device for that firearm and the firearm is accompanied by a warning, in conspicuous and legible type in capital letters printed on a separate sheet of paper included within the packaging enclosing the firearm, that firearms should be locked and kept away from children and that there may be civil and criminal liability for failing to do so. The bill provides exceptions for law-enforcement and governmental agencies. This bill incorporates HB 12.",2,,Left in Courts of Justice,2024-11-19,https://legiscan.com/VA/bill/HB158/2025,,aging
2025,2025 Regular Session,2149,,"Retirement systems; financial reports, annual disclosures.","Financial reports by retirement systems; annual disclosures. Requires retirement systems to provide disclosures describing the process and criteria used for selecting third-party fund managers, advisers, or consultants and other persons providing services to the retirement system. Such information shall be included in a retirement system's annual report.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB162/2025,,retirement
2025,2025 Regular Session,2149,,Virginia Consumer Protection Act; recycling information on products.,Virginia Consumer Protection Act; recycling information on products. Prohibits the sale or offering for sale of any product that indicates on the product's container or packaging that such container or packaging is recyclable unless such container or packaging is made out of a material that is recyclable under a majority of regional and local waste management plans. The bill requires the Virginia Waste Management Board to maintain a list of all materials that are recyclable under a majority of regional and local waste management plans adopted in the Commonwealth and to make such list available on the Department of Environmental Quality's website.,1,,Left in Labor and Commerce,2024-11-18,https://legiscan.com/VA/bill/HB228/2025,,aging
2025,2025 Regular Session,2149,,Health insurance; cost sharing for breast examinations.,"Health insurance; cost sharing for breast examinations. Prohibits health insurance carriers from imposing cost sharing for diagnostic breast examinations and supplemental breast examinations, as those terms are defined in the bill, under certain insurance policies, subscription contracts, and health care plans delivered, issued for delivery, or renewed in the Commonwealth on and after January 1, 2025. The bill provides that such examinations include examinations using diagnostic mammography, breast magnetic resonance imaging, or breast ultrasound.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB230/2025,,aging
2025,2025 Regular Session,2149,,Virginia Retirement System; enhanced retirement benefits for animal control officers.,"Virginia Retirement System; enhanced retirement benefits for animal control officers. Adds animal control officers to the list of local employees eligible to receive enhanced retirement benefits for hazardous duty service. Under current law, localities may provide such benefits to first responders, including firefighters and emergency medical technicians, and certain other hazardous duty positions.The bill has a delayed effective date of July 1, 2025, and provides that such membership would apply only to service earned on or after July 1, 2025.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB231/2025,,retirement
2025,2025 Regular Session,2149,,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,"Virginia Retirement System; enhanced retirement benefits for 911 dispatchers. Allows local governments to provide enhanced retirement benefits for hazardous duty service to full-time salaried 911 dispatchers. The bill provides that such enhanced retirement benefits apply only to service earned as a full-time salaried 911 dispatcher on or after July 1, 2025, but allows an employer, as that term is defined in relevant law, to provide such enhanced retirement benefits for service earned as a full-time salaried 911 dispatcher before July 1, 2025, in addition to service earned on or after that date. The bill has a delayed effective date of July 1, 2025.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB300/2025,,retirement
2025,2025 Regular Session,2149,,"Employment; paid sick leave, civil penalties.","Employment; paid sick leave; civil penalties. Expands provisions of the Code that currently require one hour of paid sick leave for every 30 hours worked for home health workers to cover all employees of private employers and state and local governments. The bill requires that employees who are employed and compensated on a fee-for-service basis accrue paid sick leave in accordance with regulations adopted by the Commissioner of Labor and Industry. The bill provides that employees transferred to a separate division or location remain entitled to previously accrued paid sick leave and that employees retain their accrued sick leave under any successor employer. The bill allows employers to provide a more generous paid sick leave policy than prescribed by its provisions. Employees, in addition to using paid sick leave for their physical or mental illness or to care for a family member, may use paid sick leave for their need for services or relocation due to domestic abuse, sexual assault, or stalking. The bill provides that certain health care workers who work no more than 30 hours per month may waive the right to accrue and use paid sick leave. The bill also provides that employers are not required to provide paid sick leave to certain health care workers who are employed on a pro re nata, or as-needed, basis, regardless of the number of hours worked. The bill requires the Commissioner to promulgate regulations regarding employee notification and employer recordkeeping requirements. The bill authorizes the Commissioner, in the case of a knowing violation, to subject an employer to a civil penalty not to exceed $150 for the first violation, $300 for the second violation, and $500 for each successive violation. The Commissioner may institute proceedings on behalf of an employee to enforce compliance with the provisions of this bill. Additionally, an aggrieved employee is authorized to bring a civil action against the employer in which he may recover double the amount of any unpaid sick leave and the amount of any actual damages suffered as the result of the employer's violation. The bill has a delayed effective date of January 1, 2025.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB348/2025,,home health
2025,2025 Regular Session,2149,,Financial institutions; reporting financial exploitation of elderly or vulnerable adults.,"Financial institutions; reporting financial exploitation of elderly or vulnerable adults. Permits a financial institution, as defined in the bill, to allow an elderly or vulnerable adult, as defined in the bill, to submit and periodically update a list of trusted persons whom such financial institution or financial institution staff, as defined in the bill, may contact in the case of suspected financial exploitation of such adult. In such a case, the bill also allows a financial institution or financial institution staff to convey such suspicion to one or more certain individuals, provided that the recipient of such conveyance is not the suspected perpetrator of financial exploitation. The bill provides that a financial institution or financial institution staff shall be immune from any criminal, civil, or administrative liability for any act taken or omission made in accordance with the bill's provisions.",1,,Left in Labor and Commerce,2024-11-18,https://legiscan.com/VA/bill/HB373/2025,,elderly
2025,2025 Regular Session,2149,,Medicaid waivers; program rule modifications.,"Department of Medical Assistance Services; Department of Behavioral Health and Developmental Services; Medicaid Waivers; program rule modifications. Directs the Department of Medical Assistance Services and the Department of Behavioral Health and Developmental Services to modify the program rules for certain Medicaid waivers to eliminate the requirement that certain visits for individuals enrolled in Family and Individual Support Waivers, Community Living Waivers, Building Independence Waivers, and CCC Plus Waivers be conducted face-to-face.",1,,Left in Health and Human Services,2024-11-18,https://legiscan.com/VA/bill/HB499/2025,,medicaid
2025,2025 Regular Session,2149,,"Judicial Inquiry and Review Commission; increases membership, training requirements, report.","Judicial Inquiry and Review Commission; membership; training requirements; Commission staff; JLARC study; report. Increases the membership of the Judicial Inquiry and Review Commission (the Commission) from seven to nine members and reduces from 15 to 10 years the legal practice requirement of any member of the Commission. The bill further provides for staggered terms of the members of the Commission. The bill requires that members of the Commission complete a certain amount of education on judicial misconduct and correcting implicit bias. The bill further directs the Joint Legislative Audit and Review Commission to, by November 30, 2025, (i) review (a) procedures for reviewing complaints received and adjudicating complaints, (b) processes for determining whether to conduct informal or formal hearings, and (c) any informal or established rules used to determine disciplinary action imposed on a judge or justice and provide recommendations as to the codification and publication of any such procedures, processes, or rules; (ii) research sanctions not currently used in the Commonwealth, including suspension without pay, mandatory recusal from certain cases, and payment of costs and fees associated with investigations and whether such sanctions are used in other states and their efficacy; (iii) provide recommendations on establishing a conflict of interest policy and code of conduct for the Commission and its staff; and (iv) study the potential benefits of combining the Judicial Performance Evaluation program with the tasks of the Commission.",1,,Left in Rules,2024-11-18,https://legiscan.com/VA/bill/HB556/2025,,pension
2025,2025 Regular Session,2149,,"Income tax, state; eligible low-income taxpayers to claim a refundable tax credit.","Earned income tax credit. Allows eligible low-income taxpayers to claim a refundable income tax credit equal to 20 percent of the federal earned income tax credit claimed that year by the taxpayer for the same taxable year. The bill also states that individuals who would have been entitled to the federal equivalent of this credit but for the fact that the individual, the individual's spouse, or one or more of the individual's children does not have a valid social security number are eligible to claim this credit.",1,,Left in Finance,2024-11-18,https://legiscan.com/VA/bill/HB621/2025,,social security
2025,2025 Regular Session,2149,,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,"Virginia Retirement System; enhanced retirement benefits for 911 dispatchers. Allows local governments to provide enhanced retirement benefits for hazardous duty service to full-time salaried 911 dispatchers. The bill provides that such enhanced retirement benefits apply only to service earned as a full-time salaried 911 dispatcher on or after July 1, 2025, but allows an employer, as that term is defined in relevant law, to provide such enhanced retirement benefits for service earned as a full-time salaried 911 dispatcher before July 1, 2025, in addition to service earned on or after that date. The bill has a delayed effective date of July 1, 2025.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB630/2025,,retirement
2025,2025 Regular Session,2149,,Virginia Law Officers' Retirement System; extends membership to emergency dispatchers.,"Virginia Law Officers' Retirement System; emergency dispatchers. Extends membership in the Virginia Law Officers' Retirement System (VaLORS) to emergency dispatchers who are employed by the Department of State Police and agencies whose law-enforcement officers are eligible for membership in VaLORS. The bill has a delayed effective date of July 1, 2025, and provides that such membership would apply only to service earned on or after July 1, 2025.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB631/2025,,retirement
2025,2025 Regular Session,2149,,Administrative Process Act; appeals of case decisions regarding benefits sought.,"Administrative Process Act; exemptions; limitations; appeals of case decisions regarding benefits sought. Provides that in appeals of case decisions regarding the grant or denial of Temporary Assistance to Needy Families (TANF), Medicaid, Supplemental Nutrition Assistance Program (SNAP) benefits, general relief, auxiliary grants, or state-local hospitalization, the review shall be based upon the agency record and the court may enter intermediate relief. The bill also provides that in such appeals, unless an error of law appears, the court shall enter judgment by dismissing the review action or affirming the agency regulation or decision.",2,,Left in Finance and Appropriations,2024-11-19,https://legiscan.com/VA/bill/HB787/2025,,medicaid
2025,2025 Regular Session,2149,,"Certified nursing facilities; administrative sanctions, facilities subject to minimum standards.","Certified nursing facilities; administrative sanctions; facilities subject to minimum standards. Amends the administrative sanctions that may be imposed on certified nursing facilities in relation to compliance with staffing requirements. The bill directs the State Health Commissioner, in determining whether or not to impose sanctions, to make the determination of whether a certified nursing facility was located in a medically underserved area that severely limited the ability of the certified nursing facility to recruit and retain direct care staff. The bill requires nursing facilities subject to a corrective action plan to demonstrate compliance with the corrective action plan on a quarterly basis. Under the bill, in determining whether a corrective action plan is needed, the Commissioner shall consider certain evidence of direct care staff hours, unless the facility has had a change in ownership. The bill changes from three to two the number of corrective action plans after which, if a a certified nursing facility fails to show compliance or improvement, the Commissioner may place the facility on probation. The bill also includes all nursing homes eligible to receive Medicaid reimbursement for residents in the list of facilities subject to minimum standards for (i) construction and maintenance; (ii) operation, staffing, and equipping; and (iii) the qualifications and training of staff. The bill changes the effective date of certain provisions passed in the 2023 Session of the General Assembly relating to staffing requirements for certified nursing facilities from July 1, 2025, to July 1, 2024.",1,,Left in Health and Human Services,2024-11-18,https://legiscan.com/VA/bill/HB886/2025,,"nursing home, medicaid"
2025,2025 Regular Session,2149,,"Income tax, state; creates a new tax bracket.","Income taxes. Creates a new income tax bracket for taxable years beginning on and after January 1, 2024, for income in excess of $600,000, which is to be taxed at seven percent. The bill also creates two new tax credits: a child and dependent care tax credit and a family caregiver tax credit. Both tax credits would be refundable for Virginia residents and would be available for taxable years beginning on and after January 1, 2024, but before January 1, 2029. The child and dependent care tax credit would equal 50 percent of the federal tax credit allowed for employment-related expenses for household and dependent care services. A similar income tax deduction for employment-related expenses would be sunsetted by the bill. The family caregiver tax credit would apply to expenses incurred by an individual in caring for an eligible family member, defined in the bill, who requires assistance with one or more activities of daily living, also defined in the bill. The family caregiver tax credit equals 50 percent of eligible expenditures incurred by the caregiver up to $1,000. The family caregiver tax credit shall be available only to taxpayers that have federal adjusted gross income that is no greater than $100,000 for individuals or $200,000 for married persons.",1,,Left in Finance,2024-11-18,https://legiscan.com/VA/bill/HB887/2025,,caregiver
2025,2025 Regular Session,2149,,Nursing homes; application requirements.,"Nursing homes; application requirements. Requires all applicants for a nursing home license to complete and submit an application on a form approved by the Department of Health. Under the bill, the applicant is required to provide certain information in the application form, including information on (i) ownership interests in nursing homes, (ii) pending litigation, (iii) real property related to the nursing home, (iv) secured notes, (v) the financial history of persons mentioned in the application, and (v) contact information for certain persons. The bill requires the Department of Health to publish written notice of all applications for nursing home licensure on its website, including a copy of the application form completed by the applicant and information about the public input and comment process. Under the bill, all applications for nursing home licensure are subject to a 30-day public comment period. The bill allows individuals to request a public hearing on an applicant's suitability for nursing home licensure. The bill sets forth the factors that the Department of Health is required to consider in determining whether to approve or deny an application to operate a nursing home.",1,,Left in Health and Human Services,2024-11-18,https://legiscan.com/VA/bill/HB1063/2025,,nursing home
2025,2025 Regular Session,2149,,Family caregiver; creates a nonrefundable income tax credit for taxable years 2024 through 2028.,"Family caregiver tax credit. Creates a nonrefundable income tax credit for taxable years 2024 through 2028 for expenses incurred by an individual in caring for an eligible family member, defined in the bill, who requires assistance with one or more activities of daily living, also defined in the bill. The credit equals 50 percent of eligible expenditures incurred by the caregiver up to $1,000. In order to qualify for the credit, the family caregiver must (i) not receive any compensation or reimbursement for the eligible expenditures and (ii) have federal adjusted gross income that is no greater than $100,000 for an individual or $200,000 for married persons. The bill requires the Tax Commissioner to establish guidelines for claiming the credit and provides that any unused credit may be carried forward by the taxpayer for five taxable years following the taxable year for which the credit was issued.",1,,Left in Finance,2024-11-18,https://legiscan.com/VA/bill/HB1078/2025,,caregiver
2025,2025 Regular Session,2149,,"Income tax, state; subtraction for professional firefighter pension.","Income tax subtraction; professional firefighter pension. Establishes an income tax subtraction for up to $20,000 of firefighter benefits in taxable year 2024, up to $30,000 in taxable year 2025, and up to $40,000 in taxable year 2026 and each year thereafter. The bill defines firefighter benefits to include retirement income related to firefighting services and benefits paid to the surviving spouse of a firefighter whose death occurred in the line of duty.",1,,Left in Finance,2024-11-18,https://legiscan.com/VA/bill/HB1292/2025,,"retirement, pension"
2025,2025 Regular Session,2149,,Virginia Retirement System; return to work for law-enforcement officers.,"Virginia Retirement System; return to work for law-enforcement officers. Allows a retired law-enforcement officer to return to work full time as a law-enforcement officer and continue to receive his pension under the Virginia Retirement System. Such person shall be required to have a break in service of at least six calendar months before reemployment. The bill has a delayed effective date of January 1, 2025.",1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB1393/2025,,"retirement, pension"
2025,2025 Regular Session,2149,,Prisoners; Department of Corrections- and jailer-issued identification.,"Prisoners; Department of Corrections-issued and jailer-issued identification. Provides that the Department of Corrections shall establish a procedure for securing a government-issued identification card, birth certificate, or Social Security card through the Department of Motor Vehicles and that the Department of Motor Vehicles shall expedite the processing of an application submitted by a prisoner for such government-issued identification card and the issuance of such identification. The bill also requires the Department of Corrections, in coordination with the State Board of Local and Regional Jails, the Department of Motor Vehicles, and the State Registrar of Vital Records, to (i) review the processes involved in assisting a prisoner in applying for and obtaining a government-issued identification card, birth certificate, or Social Security card; (ii) identify any obstacles that may interfere with a prisoner obtaining such identification or documents prior to such prisoner's release or discharge; and (iii) issue a report of its findings and recommendations to the General Assembly no later than November 1, 2024.",2,,Left in Finance and Appropriations,2024-11-19,https://legiscan.com/VA/bill/HB1405/2025,,social security
2025,2025 Regular Session,2149,,Juvenile detention specialists; enhanced retirement benefits.,Pensions; enhanced retirement benefits for juvenile detention specialists. Requires each political subdivision participating in the Virginia Retirement System and each county or city participating in the Virginia Retirement System to provide retirement benefits comparable to the benefits provided to state police officers to juvenile detention specialists.,1,,Left in Appropriations,2024-11-18,https://legiscan.com/VA/bill/HB1438/2025,,"retirement, pension"
2025,2025 Regular Session,2149,,"DGS, et al.; review of procurement process, employment services organizations.","Department of General Services; Department for Aging and Rehabilitative Services; review of procurement process; employment services organizations. Directs the Department of General Services, in cooperation with the Department for Aging and Rehabilitative Services, to perform a comprehensive review of the process for procuring goods and services from employment services organizations. The bill provides that such review shall examine the current process for procurement, potential set-asides or percentage goals, and whether employment services organizations should be housed alongside small, women-owned, or minority-owned businesses within the Department of Small Business and Supplier Diversity.",1,,Left in Rules,2024-11-18,https://legiscan.com/VA/bill/HB1463/2025,,aging
2025,2025 Regular Session,2149,,Critical access hospitals; swing beds.,"Certificate of public need; exception; critical access hospitals; swing beds; sunset. Allows critical access hospitals to utilize an average of up to 10 swing beds per day, calculated over the hospital's fiscal year, without obtaining a certificate of public need. Under current law, critical access hospitals may only use up to 10 percent of beds as swing beds. The bill directs the State Commissioner of Health to collect data annually from critical access hospitals that use fiscal year averaging for swing beds and make such data publicly available. The bill has an expiration date of July 1, 2028. This bill is identical to SB 1177.",4,,Acts of Assembly Chapter text (CHAP0114),2025-03-19,https://legiscan.com/VA/bill/HB1552/2025,,aging
2025,2025 Regular Session,2149,,Virginia Law Officers' Retirement System; emergency dispatchers.,"Virginia Law Officers' Retirement System; emergency dispatchers. Extends membership in the Virginia Law Officers' Retirement System (VaLORS) to emergency dispatchers who are employed by the Department of State Police, Capitol Police, and agencies whose law-enforcement officers are eligible for membership in VaLORS. The bill has a delayed effective date of July 1, 2026, and provides that such membership applies only to service earned on or after July 1, 2026.",1,,Left in Appropriations,2025-02-04,https://legiscan.com/VA/bill/HB1563/2025,,retirement
